Plot;Harvest;Row ;Column ;Family;DMY
1083;2;3;21;98F;2852.17
1084;2;3;22;108F;3743.48
1085;2;3;23;76F;5442.52
1086;2;3;24;18_H;741.3
1087;2;3;25;B_805;3330.43
1088;2;3;26;8F;1841.3
1089;2;3;27;31F;441.3
1090;2;3;28;40F;854.35
1091;2;3;29;130F;1628.26
1502;2;3;30;C;NA
1092;2;3;31;UF2015;4608.7
1093;2;3;32;53F;2208.7
1124;2;4;1;22_H;1641.3
1123;2;4;2;106F;2304.35
1122;2;4;3;82F;1184.78
1121;2;4;4;140F;1623.91
1120;2;4;5;124F;1406.52
1119;2;4;6;30_H;1632.61
1118;2;4;7;2F;1123.91
1117;2;4;8;101F;1008.7
1116;2;4;9;UF2015;1473.91
1115;2;4;10;63F;913.04
1114;2;4;11;24F;1628.26
1113;2;4;12;8F;1617.39
1112;2;4;13;FL99;2463.04
1111;2;4;14;33F;2891.3
1110;2;4;15;149F;3119.57
1109;2;4;16;71F;1521.74
1108;2;4;17;29F;2673.91
1107;2;4;18;135F;1769.57
1106;2;4;19;20_H;1956.52
1105;2;4;20;113F;2006.52
1104;2;4;21;6F;1521.74
1103;2;4;22;70F;1506.52
1102;2;4;23;B_805;2515.22
1101;2;4;24;23F;2900
1100;2;4;25;7_H;1108.7
1099;2;4;26;90F;2708.7
1098;2;4;27;140F;1206.52
1097;2;4;28;146F;634.78
1096;2;4;29;4F;2486.96
1503;2;4;30;C;NA
1095;2;4;31;35_H;1586.96
1094;2;4;32;38F;2580.43
1125;2;5;1;26_H;1134.78
1126;2;5;2;87F;1767.39
1127;2;5;3;48F;1232.61
1128;2;5;4;33_H;1852.17
1129;2;5;5;98F;1889.13
1130;2;5;6;B_805;2463.04
1131;2;5;7;34F;1047.83
1132;2;5;8;137F;1669.57
1133;2;5;9;17F;2036.96
1134;2;5;10;28F;1597.83
1135;2;5;11;85F;543.48
1136;2;5;12;25_H;1508.7
1137;2;5;13;132F;1676.09
1138;2;5;14;4_H;2060.87
1139;2;5;15;148F;2078.26
1140;2;5;16;21_H;1460.87
1141;2;5;17;UF2015;2956.52
1142;2;5;18;105F;2869.57
1143;2;5;19;59F;1652.17
1144;2;5;20;136F;2210.87
1145;2;5;21;48F;3123.91
1146;2;5;22;49F;3695.65
1147;2;5;23;55F;2784.78
1148;2;5;24;11F;3206.52
1149;2;5;25;60F;1669.57
1150;2;5;26;16F;1706.52
1151;2;5;27;72F;1373.91
1152;2;5;28;FL99;1547.83
1153;2;5;29;56F;960.87
1504;2;5;30;C;NA
1154;2;5;31;88F;1119.57
1155;2;5;32;148F;3073.91
1186;2;6;1;7F;1760.87
1185;2;6;2;93F;2176.09
1184;2;6;3;5_H;1804.35
1183;2;6;4;56F;1704.35
1182;2;6;5;54F;2280.43
1181;2;6;6;121F;2269.57
1180;2;6;7;83F;1695.65
1179;2;6;8;35F;1280.43
1178;2;6;9;27_H;2430.43
1177;2;6;10;96F;1452.17
1176;2;6;11;29_H;2371.74
1175;2;6;12;146F;3747.83
1174;2;6;13;24_H;1452.17
1173;2;6;14;B_805;3886.96
1172;2;6;15;22_H;2380.43
1171;2;6;16;35_H;1515.22
1170;2;6;17;115F;2128.26
1169;2;6;18;14_H;2532.61
1168;2;6;19;17_H;3723.91
1167;2;6;20;13_H;3919.57
1166;2;6;21;36F;1058.7
1165;2;6;22;99F;4058.7
1164;2;6;23;87F;3500
1163;2;6;24;124F;2908.7
1162;2;6;25;UF2015;2363.04
1161;2;6;26;19_H;2910.87
1160;2;6;27;25_H;1704.35
1159;2;6;28;73F;1441.3
1158;2;6;29;131F;1471.74
1157;2;6;30;47F;2000
1505;2;6;31;C;NA
1156;2;6;32;41F;1058.7
1187;2;7;1;44F;1541.3
1188;2;7;2;6_H;1826.09
1189;2;7;3;129F;1141.3
1190;2;7;4;8F;1371.74
1191;2;7;5;16F;2106.52
1192;2;7;6;9_H;1565.22
1193;2;7;7;136F;2215.22
1194;2;7;8;18F;1767.39
1195;2;7;9;69F;2102.17
1196;2;7;10;FL99;2282.61
1197;2;7;11;14F;1982.61
1198;2;7;12;28_H;3234.78
1199;2;7;13;67F;3945.65
1200;2;7;14;122F;1895.65
1201;2;7;15;58F;2358.7
1202;2;7;16;129F;1393.48
1203;2;7;17;3_H;2350
1204;2;7;18;89F;2091.3
1205;2;7;19;8_H;2797.83
1206;2;7;20;43F;2539.13
1207;2;7;21;51F;2530.43
1208;2;7;22;UF2015;2789.13
1209;2;7;23;1_H;2615.22
1210;2;7;24;61F;1880.43
1211;2;7;25;42F;3873.91
1212;2;7;26;63F;1004.35
1213;2;7;27;B_805;1871.74
1214;2;7;28;58F;2836.96
1215;2;7;29;137F;1404.35
1216;2;7;30;103F;2376.09
1506;2;7;31;C;NA
1217;2;7;32;79F;3152.17
1248;2;8;1;5F;1895.65
1247;2;8;2;127F;1821.74
1246;2;8;3;15F;2241.3
1245;2;8;4;31_H;1934.78
1244;2;8;5;65F;700
1243;2;8;6;130F;1373.91
1242;2;8;7;11F;1656.52
1241;2;8;8;B_805;2315.22
1240;2;8;9;13_H;2000
1239;2;8;10;15_H;1913.04
1238;2;8;11;20F;1695.65
1237;2;8;12;128F;2591.3
1236;2;8;13;81F;1971.74
1235;2;8;14;123F;1904.35
1234;2;8;15;UF2015;5421.13
1233;2;8;16;27_H;3569.57
1232;2;8;17;19_H;3721.74
1231;2;8;18;116F;2045.65
1230;2;8;19;FL99;3341.3
1229;2;8;20;34_H;1945.65
1228;2;8;21;17F;3878.26
1227;2;8;22;91F;1252.17
1226;2;8;23;19F;1795.65
1225;2;8;24;32F;2247.83
1224;2;8;25;102F;1873.91
1223;2;8;26;15_H;1265.22
1222;2;8;27;24F;1352.17
1221;2;8;28;37F;2519.57
1220;2;8;29;21_H;1254.35
1219;2;8;30;32_H;3319.57
1507;2;8;31;C;NA
1218;2;8;32;18F;5755.42
1249;2;9;1;FL99;2423.91
1250;2;9;2;70F;1719.57
1251;2;9;3;95F;1482.61
1252;2;9;4;36_H;1395.65
1253;2;9;5;30F;1443.48
1254;2;9;6;24F;1869.57
1255;2;9;7;47F;791.3
1256;2;9;8;20_H;2756.52
1257;2;9;9;145F;1223.91
1258;2;9;10;31F;565.22
1259;2;9;11;16_H;3173.91
1260;2;9;12;23_H;2143.48
1261;2;9;13;76F;1965.22
1262;2;9;14;18_H;715.22
1263;2;9;15;27F;2506.52
1264;2;9;16;75F;1056.52
1265;2;9;17;2F;2339.13
1266;2;9;18;113F;2126.09
1267;2;9;19;83F;1780.43
1268;2;9;20;4F;1821.74
1269;2;9;21;80F;1832.61
1270;2;9;22;9_H;4143.48
1271;2;9;23;62F;1808.7
1272;2;9;24;134F;2350
1273;2;9;25;30_H;3808.7
1274;2;9;26;106F;2391.3
1275;2;9;27;5F;669.57
1276;2;9;28;16_H;2510.87
1277;2;9;29;B_805;2445.65
1278;2;9;30;127F;2808.7
1508;2;9;31;C;NA
1279;2;9;32;13F;4110.87
1311;2;10;1;78F;1128.26
1310;2;10;2;109F;1050
1309;2;10;3;21_H;934.78
1308;2;10;4;135F;1434.78
1307;2;10;5;B_805;3028.26
1306;2;10;6;11_H;934.78
1305;2;10;7;32_H;1786.96
1304;2;10;8;35_H;1713.04
1303;2;10;9;50F;1886.96
1302;2;10;10;17_H;3552.17
1301;2;10;11;60F;3541.3
1300;2;10;12;107F;2058.7
1299;2;10;13;66F;2508.7
1298;2;10;14;25F;3578.26
1297;2;10;15;99F;3345.65
1296;2;10;16;149F;3919.57
1295;2;10;17;96F;4102.17
1294;2;10;18;140F;3210.87
1293;2;10;19;126F;3573.91
1292;2;10;20;141F;5643.31
1291;2;10;21;33F;6411.91
1290;2;10;22;119F;3600
1289;2;10;23;133F;5774.8
1288;2;10;24;FL99;3293.48
1287;2;10;25;114F;4805.95
1286;2;10;26;UF2015;2050
1285;2;10;27;121F;2680.43
1284;2;10;28;118F;2250
1283;2;10;29;23_H;1256.52
1282;2;10;30;36_H;1515.22
1281;2;10;31;135F;3021.74
1280;2;10;32;10F;6821.88
1312;2;11;1;6F;1739.13
1313;2;11;2;101F;2123.91
1314;2;11;3;28F;3297.83
1315;2;11;4;37F;2276.09
1316;2;11;5;17F;4653.11
1317;2;11;6;115F;3065.22
1318;2;11;7;32F;2608.7
1319;2;11;8;88F;3491.3
1320;2;11;9;105F;3297.83
1321;2;11;10;97F;3869.57
1322;2;11;11;UF2015;4443.58
1323;2;11;12;42F;4468.89
1324;2;11;13;120F;791.3
1325;2;11;14;1_H;3684.78
1326;2;11;15;40F;1126.09
1327;2;11;16;12_H;2386.96
1328;2;11;17;B_805;4922.01
1329;2;11;18;101F;2528.26
1330;2;11;19;137F;2960.87
1331;2;11;20;104F;2941.3
1332;2;11;21;78F;2847.83
1333;2;11;22;7_H;3282.61
1334;2;11;23;26_H;3382.61
1335;2;11;24;123F;4167.39
1336;2;11;25;68F;2241.3
1337;2;11;26;25F;3265.22
1338;2;11;27;66F;2173.91
1339;2;11;28;21F;3904.35
1340;2;11;29;65F;4347.83
1341;2;11;30;FL99;4639.13
1342;2;11;31;125F;7989.07
1509;2;11;32;C;NA
1373;2;12;1;148F;2878.26
1372;2;12;2;91F;1258.7
1371;2;12;3;134F;3623.91
1370;2;12;4;UF2015;3780.43
1369;2;12;5;89F;2663.04
1368;2;12;6;18F;2630.43
1367;2;12;7;10F;2615.22
1366;2;12;8;3F;3004.35
1365;2;12;9;131F;2778.26
1364;2;12;10;34_H;2506.52
1363;2;12;11;8_H;3563.04
1362;2;12;12;82F;1310.87
1361;2;12;13;147F;1615.22
1360;2;12;14;2_H;1123.91
1359;2;12;15;49F;2434.78
1358;2;12;16;FL99;2519.57
